index,Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Condition,Measure ID,Measure Name,Score,Sample,Footnote,Measure Start Date,Measure End Date,Location
0,39012F,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,UNIVERSITY DRIVE,PITTSBURGH,PA,15240,ALLEGHENY,4126886100,Emergency Department (ED) Measures,ED-1b,Median time from ED arrival to ED departure for admitted ED patients,286,256,2 - Data submitted were based on a sample of cases/patients.,4/1/2016,3/31/2017,"UNIVERSITY DRIVE
PITTSBURGH, PA
"
1,39012F,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,UNIVERSITY DRIVE,PITTSBURGH,PA,15240,ALLEGHENY,4126886100,Emergency Department (ED) Measures,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients,118,251,2 - Data submitted were based on a sample of cases/patients.,4/1/2016,3/31/2017,"UNIVERSITY DRIVE
PITTSBURGH, PA
"
2,39012F,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,UNIVERSITY DRIVE,PITTSBURGH,PA,15240,ALLEGHENY,4126886100,Preventative Care Measures,IMM-2,Patients assessed and given influenza vaccination,71,596,2 - Data submitted were based on a sample of cases/patients.,10/1/2016,3/31/2017,"UNIVERSITY DRIVE
PITTSBURGH, PA
"
3,39012F,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,UNIVERSITY DRIVE,PITTSBURGH,PA,15240,ALLEGHENY,4126886100,Emergency Department (ED) Measures,OP-18b,Median time from ED arrival to ED departure for discharged ED patients,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"UNIVERSITY DRIVE
PITTSBURGH, PA
"
4,39012F,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,UNIVERSITY DRIVE,PITTSBURGH,PA,15240,ALLEGHENY,4126886100,Emergency Department (ED) Measures,OP-20,Door to diagnostic eval,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"UNIVERSITY DRIVE
PITTSBURGH, PA
"
5,39012F,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,UNIVERSITY DRIVE,PITTSBURGH,PA,15240,ALLEGHENY,4126886100,Emergency Department (ED) Measures,OP-21,Median time to pain med,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"UNIVERSITY DRIVE
PITTSBURGH, PA
"
6,39012F,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,UNIVERSITY DRIVE,PITTSBURGH,PA,15240,ALLEGHENY,4126886100,Emergency Department (ED) Measures,OP-23,Head CT results,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"UNIVERSITY DRIVE
PITTSBURGH, PA
"
7,39012F,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,UNIVERSITY DRIVE,PITTSBURGH,PA,15240,ALLEGHENY,4126886100,Acute Myocardial Infarction (AMI),OP-1,Median Time to Fibrinolysis,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"UNIVERSITY DRIVE
PITTSBURGH, PA
"
8,39012F,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,UNIVERSITY DRIVE,PITTSBURGH,PA,15240,ALLEGHENY,4126886100,Acute Myocardial Infarction (AMI),OP-2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"UNIVERSITY DRIVE
PITTSBURGH, PA
"
9,39012F,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,UNIVERSITY DRIVE,PITTSBURGH,PA,15240,ALLEGHENY,4126886100,Acute Myocardial Infarction (AMI),OP-3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"UNIVERSITY DRIVE
PITTSBURGH, PA
"
10,39012F,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,UNIVERSITY DRIVE,PITTSBURGH,PA,15240,ALLEGHENY,4126886100,Acute Myocardial Infarction (AMI),OP-4,Aspirin at Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"UNIVERSITY DRIVE
PITTSBURGH, PA
"
11,39012F,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,UNIVERSITY DRIVE,PITTSBURGH,PA,15240,ALLEGHENY,4126886100,Acute Myocardial Infarction (AMI),OP-5,Median Time to ECG,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"UNIVERSITY DRIVE
PITTSBURGH, PA
"
12,39012F,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,UNIVERSITY DRIVE,PITTSBURGH,PA,15240,ALLEGHENY,4126886100,Blood clot prevention and treatment,VTE-6,Hospital acquired potentially preventable venous thromboembolism,Not Available,7,1 - The number of cases/patients is too few to report. 3 - Results are based on a shorter time period than required.,4/1/2016,3/31/2017,"UNIVERSITY DRIVE
PITTSBURGH, PA
"
13,51003F,CLARKSBURG VA MEDICAL CENTER,1 MEDICAL CENTER DRIVE,CLARKSBURG,WV,26301,HARRISON,3046233461,Emergency Department (ED) Measures,ED-1b,Median time from ED arrival to ED departure for admitted ED patients,193,233,2 - Data submitted were based on a sample of cases/patients.,4/1/2016,3/31/2017,"1 MEDICAL CENTER DRIVE
CLARKSBURG, WV
"
14,51003F,CLARKSBURG VA MEDICAL CENTER,1 MEDICAL CENTER DRIVE,CLARKSBURG,WV,26301,HARRISON,3046233461,Emergency Department (ED) Measures,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients,59,232,2 - Data submitted were based on a sample of cases/patients.,4/1/2016,3/31/2017,"1 MEDICAL CENTER DRIVE
CLARKSBURG, WV
"
15,51003F,CLARKSBURG VA MEDICAL CENTER,1 MEDICAL CENTER DRIVE,CLARKSBURG,WV,26301,HARRISON,3046233461,Preventative Care Measures,IMM-2,Patients assessed and given influenza vaccination,93,292,2 - Data submitted were based on a sample of cases/patients.,10/1/2016,3/31/2017,"1 MEDICAL CENTER DRIVE
CLARKSBURG, WV
"
16,51003F,CLARKSBURG VA MEDICAL CENTER,1 MEDICAL CENTER DRIVE,CLARKSBURG,WV,26301,HARRISON,3046233461,Emergency Department (ED) Measures,OP-18b,Median time from ED arrival to ED departure for discharged ED patients,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"1 MEDICAL CENTER DRIVE
CLARKSBURG, WV
"
17,51003F,CLARKSBURG VA MEDICAL CENTER,1 MEDICAL CENTER DRIVE,CLARKSBURG,WV,26301,HARRISON,3046233461,Emergency Department (ED) Measures,OP-20,Door to diagnostic eval,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"1 MEDICAL CENTER DRIVE
CLARKSBURG, WV
"
